BindingSite1,BS1_rmsd,BindingSite2,BS2_rmsd,MC1,MC1_rmsd,NM1,NM1_rmsd,MC2,MC2_rmsd,NM2,NM2_rmsd,MC3,MC3_rmsd,NM3,NM3_rmsd,Md1,Md1_rmsd,Md2,Md2_rmsd,Md3,Md3_rmsd,Nd1,Nd1_rmsd,Nd2,Nd2_rmsd,Nd3,Nd3_rmsd,y
-3992,942.4227077060488,-1551,398.7538087592394,-3045,552.1898586537059,-4207,372.05448957092125,-2838,271.8801942032571,-2595,372.3264696472707,-3271,523.0799339335725,-2799,306.54494363655095,-4382,795.5650837418244,-2502,847.2566768950302,-4131,587.0027342355392,-3336,509.968087236839,-3711,735.086450698148,-4353,925.2548531133868,0
-5035,707.815418500236,-5999,535.501426494623,-5909,1190.206456880486,-5791,566.4596719979266,-6633,824.2597952102243,-5156,645.203099806567,-5694,522.8083235851136,-5843,358.3844304653852,-5751,225.08171355705431,-4843,482.3473851903833,-7730,1064.056783966989,-7582,991.8249291079576,-6549,404.61241948314057,-7696,1594.5998369496972,0
-2662,766.4653221118356,-1925,698.778255242677,-3121,1159.2379680922577,-2923,574.2727923208623,-3191,386.01669509088464,-1434,479.50183524153505,-3841,446.5850422931787,-1530,759.5348642425837,-6378,1702.4404864781613,-1754,519.2669929814526,-3606,511.48036130432234,-3470,400.2121659542323,-2576,316.37958214777467,-3674,619.8845376358413,0
-5412,775.8618175938282,-5059,796.1229553278814,-5929,592.4878142206766,-6110,634.9190499583415,-5694,687.7249845112425,-5076,763.8332343362267,-5833,845.3727935059162,-5751,1222.75835715811,-5650,433.15573283623036,-5339,901.6115201866788,-6470,281.6725226215657,-5469,728.0628338268577,-5845,407.4033505016799,-7159,1342.6222361989264,0
-2704,541.6953387283302,-2111,603.6351629916865,-3309,473.9843457330634,-3520,515.963559819615,-2879,542.091104365399,-2952,1038.6591784068964,-3357,603.9447325707869,-2515,684.5999123575755,-4170,747.8839749586833,-2556,919.5802719410686,-4186,666.7586444883941,-3593,565.8127693857747,-1877,395.930663121713,-2083,549.306153251536,0
-5939,1007.3993409263087,-5182,830.8211359853585,-6157,890.1798975488044,-6197,1005.4468658263343,-4918,787.9327699746982,-5910,629.2315948837904,-6033,524.4381374385382,-5152,242.3489426426241,-6697,567.084341169811,-4727,477.3732711411482,-6301,734.146182503147,-7484,903.0987985818634,-5936,846.2567249035283,-6631,702.5204979215914,0
-3647,634.5545603019493,-2093,656.6609779787437,-3505,611.7612606237827,-3717,763.633128901278,-1919,278.3656588015131,-2820,901.0754962820816,-3135,342.37945323865375,-2664,934.9742723733101,-4459,579.3605883713736,-2054,443.217723717457,-4134,862.1837681144314,-3667,804.9052180225949,-2450,669.2141959044205,-2874,745.0221204769688,0
-5772,1116.5851512535883,-5871,729.277183243793,-6799,769.7782537848148,-8291,1239.8009356344264,-5465,1183.7663789785565,-4796,752.3786546679808,-6094,752.3497773642257,-6150,917.3361730145546,-6766,836.3660980694997,-5039,668.5731747535193,-6346,903.6783719886193,-6072,897.1135323915217,-6888,1261.7410035344033,-6735,942.1180870782612,0
-2549,355.1518689237044,-1768,432.7282750179378,-3211,499.77167626333375,-3799,508.2372569725679,-1920,454.38468284043245,-1605,274.39353126486066,-3293,193.26409392331945,-2503,416.8932237396034,-4452,748.2291159798585,-1416,433.607714414769,-4206,674.5283166776612,-4625,878.5496912525772,-2638,750.1759060380442,-3809,641.737087910618,0
-5766,334.5624605361387,-5847,552.2179074278154,-5353,577.3349201286856,-6857,420.45778622829664,-4232,843.184019061082,-5601,531.3046583646753,-6030,331.4937254308083,-6459,456.8762157775481,-6882,691.7950274467083,-4726,481.09218451352905,-5989,292.48112738524645,-7625,691.5718328561404,-5675,242.72752213129542,-5443,674.884760533229,0
-3678,908.145918891893,-2704,850.4438202244901,-3284,592.2352719012525,-3128,497.7890717964779,-1830,716.6178277932463,-2818,675.9480749288364,-2691,369.27850910112625,-2633,304.5512108004176,-3229,710.9025249638662,-1279,410.5688858157665,-2749,426.00855625210056,-4270,412.6824642828052,-2899,716.7013945074259,-4709,924.9402383097213,0
-6592,1136.7356948737008,-5869,695.6411023005132,-6001,1019.5002043485151,-7020,483.2620892575525,-7921,1089.874011067334,-5195,642.3519985179464,-6768,837.2216194055209,-5900,502.7706833139768,-6889,996.4764372527809,-5774,865.4375136311112,-6570,503.59352408465304,-7667,1117.9241879483575,-5326,755.8414913194454,-7239,1688.5647276625707,0
-3290,987.8949763891909,-1790,789.2448542752747,-3899,669.6091695907393,-4712,788.7674181911934,-2393,521.1734206336697,-1956,399.25959252373946,-2704,272.1496647067573,-1377,544.5992655154796,-4174,568.3348213296474,-2399,803.6597922805363,-3019,484.5761137324031,-2269,638.7755865716848,-1941,564.8817221330509,-3085,614.2650567955184,0
-5374,683.1345109127469,-4699,522.7748655013921,-5387,714.3582854562559,-7592,1005.5623501305168,-4960,736.5816248047464,-6764,1150.7587236254162,-5606,483.7164045181832,-5619,424.0231766318736,-5178,256.4275942856227,-4708,724.0300062842695,-6621,288.0764216164839,-6306,836.5614681540166,-5974,812.2933849354389,-7337,1365.928725794512,0
-3997,669.2802288214984,-2347,449.95098621961,-3372,388.1157043975427,-4157,390.6755175334145,-3365,583.693983750619,-3070,576.6122860250738,-3720,411.7232201370222,-4011,451.9335791905698,-3893,718.8742657794901,-1941,637.6478965698858,-4671,869.8841532066217,-5574,803.3606973209459,-5031,1376.4607513474546,-4718,510.54787807067447,0
-5661,543.560196758372,-5753,691.9618558851354,-6363,848.2357926897455,-6271,710.5768305389396,-5439,873.9443288905751,-4245,552.5702579763054,-6439,650.0264609998569,-7672,517.9793914819377,-8245,1077.9184616658167,-4814,502.8302795178518,-7907,702.6657881785229,-8510,1215.6582620128067,-6033,149.39330640962265,-7076,939.0268633005124,0
-3176,1475.0427281946784,-3036,378.0196952540973,-3459,1886.5331934530068,-4695,401.3207686813629,-4078,820.1903573087293,-2188,524.5490348861576,-3873,372.4980671090773,-3406,310.457595119441,-4502,837.7524037566229,-2473,1122.333212553206,-3286,567.7813437591864,-4508,545.1972487091264,-2133,393.4710154509483,-3975,954.5929184736285,0
